;1_1;1_2;1_3;1_4;1_5;1_6;1_7;1_8;1_9;1_10;1_11;1_12;1_13;1_14;1_16;1_17;1_18;1_21;1_22;2_1;2_2;2_3;2_4;2_5;2_6;2_7;2_8;2_9;2_10;2_11;2_12;2_13;2_14;2_16;2_17;2_18;2_21;2_22;3_1;3_2;3_3;3_4;3_5;3_6;3_7;3_8;3_9;3_10;3_11;3_12;3_13;3_14;3_16;3_17;3_18;3_21;3_22;4_1;4_2;4_3;4_4;4_5;4_6;4_7;4_8;4_9;4_10;4_11;4_12;4_13;4_14;4_16;4_17;4_18;4_21;4_22;5_1;5_2;5_3;5_4;5_5;5_6;5_7;5_8;5_9;5_10;5_11;5_12;5_13;5_14;5_16;5_17;5_18;5_21;5_22;6_1;6_2;6_3;6_4;6_5;6_6;6_7;6_8;6_9;6_10;6_11;6_12;6_13;6_14;6_16;6_17;6_18;6_21;6_22;7_1;7_2;7_3;7_4;7_5;7_6;7_7;7_8;7_9;7_10;7_11;7_12;7_13;7_14;7_16;7_17;7_18;7_21;7_22;8_1;8_2;8_3;8_4;8_5;8_6;8_7;8_8;8_9;8_10;8_11;8_12;8_13;8_14;8_16;8_17;8_18;8_21;8_22;9_1;9_2;9_3;9_4;9_5;9_6;9_7;9_8;9_9;9_10;9_11;9_12;9_13;9_14;9_16;9_17;9_18;9_21;9_22;10_1;10_2;10_3;10_4;10_5;10_6;10_7;10_8;10_9;10_10;10_11;10_12;10_13;10_14;10_16;10_17;10_18;10_21;10_22;11_1;11_2;11_3;11_4;11_5;11_6;11_7;11_8;11_9;11_10;11_11;11_12;11_13;11_14;11_16;11_17;11_18;11_21;11_22;12_1;12_2;12_3;12_4;12_5;12_6;12_7;12_8;12_9;12_10;12_11;12_12;12_13;12_14;12_16;12_17;12_18;12_21;12_22;13_1;13_2;13_3;13_4;13_5;13_6;13_7;13_8;13_9;13_10;13_11;13_12;13_13;13_14;13_16;13_17;13_18;13_21;13_22;14_1;14_2;14_3;14_4;14_5;14_6;14_7;14_8;14_9;14_10;14_11;14_12;14_13;14_14;14_17;14_18;14_22;16_1;16_2;16_3;16_4;16_5;16_6;16_7;16_8;16_9;16_10;16_11;16_12;16_13;16_14;16_16;16_17;16_18;16_22;17_1;17_2;17_3;17_4;17_5;17_6;17_7;17_8;17_9;17_10;17_11;17_12;17_13;17_14;17_16;17_17;17_18;17_21;17_22;18_1;18_2;18_3;18_4;18_5;18_6;18_7;18_8;18_9;18_10;18_11;18_12;18_13;18_14;18_16;18_17;18_18;18_21;18_22;21_1;21_2;21_3;21_4;21_5;21_6;21_7;21_8;21_9;21_10;21_11;21_12;21_13;21_17;21_18;21_22;22_1;22_2;22_3;22_4;22_5;22_6;22_7;22_8;22_9;22_10;22_11;22_12;22_13;22_14;22_16;22_17;22_18;22_21;22_22
154;188805;64605;8464;161924;127042;11079;3801;63498;6000;78583;90644;109847;7278;0;1289;9649;1116;564;4193;60855;20706;2662;51745;40645;3600;1218;20275;1906;25229;29013;35348;2370;0;422;3219;357;178;1364;16751;5702;820;14735;11509;959;319;5897;539;6940;8241;9708;633;0;98;1630;115;40;357;175711;60251;7774;150426;118684;10412;3470;58927;5509;72531;84539;102222;6794;0;1205;7924;1050;511;3843;134948;46259;5957;115190;90525;8030;2672;45082;4193;55740;64796;78437;5236;0;961;5746;797;400;2993;8601;2928;353;7156;5602;496;180;2759;271;3551;4058;4934;325;0;59;320;44;30;192;4194;1434;214;3667;2866;236;78;1463;129;1746;2064;2433;163;0;26;492;27;11;95;74877;25625;3328;64598;50768;4441;1462;25200;2369;31060;36157;43677;2896;0;509;3269;450;212;1607;5685;1970;240;4922;3901;337;118;1906;171;2349;2783;3320;220;0;37;165;36;15;119;78242;26791;3515;67464;52890;4609;1569;26315;2496;32385;37670;45601;3022;0;540;3461;461;236;1714;98161;33615;4346;84004;65986;5766;1927;32918;3050;40615;46971;57034;3804;0;672;4840;586;287;2206;101713;34828;4396;86634;68107;6074;2039;33723;3216;42119;48574;58996;3951;0;722;3374;581;315;2242;6867;2322;310;5833;4562;411;136;2279;217;2843;3257;3961;253;0;49;300;40;21;157;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;556;190;25;442;317;37;13;166;20;225;249;310;20;0;3;6;2;9;70916;23505;3741;63995;50060;3872;1211;26206;2324;29944;35377;41690;2713;0;387;8515;387;129;1431;1959;663;90;1695;1333;116;38;675;59;814;949;1139;75;0;13;268;10;5;47;51;26;1;38;26;2;2;13;4;19;20;29;2;2;0;1;3802;1288;176;3294;2545;224;74;1318;128;1601;1785;2230;142;0;30;272;18;12;78
155;321201;120829;13446;205112;209974;27674;9645;86810;10162;111728;154303;170741;13283;10;8034;4616;1261;0;2594;130999;49141;5427;83428;85450;11274;4081;35130;4110;45368;62584;69664;5483;1;3217;967;498;0;1025;15426;5877;630;9999;10089;1329;456;4244;482;5323;7380;8184;623;1;376;158;63;0;123;237592;89900;9873;152076;154959;20427;7197;64517;7442;82214;113722;126038;9827;6;5810;2776;944;0;1900;207868;78144;8667;132633;135460;18029;6201;56355;6564;72120;99823;110097;8559;4;5275;2536;835;0;1672;19644;7252;795;12141;12710;1711;575;5150;652;6770;9442;10275;787;0;588;0;68;0;164;7999;2827;336;4947;5261;723;231;2072;263;2764;3855;4151;336;1;241;124;34;0;58;101660;38660;4216;65203;66080;8715;3098;27495;3174;35155;48628;54032;4210;1;2436;921;403;0;811;8284;3112;346;5254;5419;705;243;2231;253;2851;3990;4336;327;1;193;134;35;0;71;121654;46006;5153;78418;79491;10399;3638;33230;3842;42195;58608;64870;4989;3;2909;2230;489;0;994;156873;59248;6588;100454;102325;13450;4681;42552;4934;54300;75078;83155;6437;2;3849;1440;615;0;1280;179733;67554;7548;115186;117580;15508;5463;48663;5715;62297;86401;95266;7418;2;4432;1887;712;0;1430;12381;4565;529;7837;8113;1101;368;3310;409;4323;5979;6566;496;0;325;64;48;0;96;792;313;35;546;517;59;21;234;22;288;386;435;32;0;124;5;7;2392;865;92;1366;1498;179;45;619;106;874;1195;1249;91;0;78;64;3;31;122100;48645;5530;84440;79782;9322;3352;36209;3500;43748;59864;67159;4992;34;1990;12403;600;0;1106;2749;1072;117;1816;1770;227;76;772;80;966;1325;1473;112;0;62;190;10;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3020;1173;129;1964;1975;249;96;834;90;1043;1436;1629;128;0;60;0;12;0;21
156;460320;115558;49446;357234;354006;18131;5066;166748;10764;209485;163237;232436;19361;28066;8206;207;4529;0;1083;135002;33930;14489;104882;103585;5252;1501;49138;3185;61548;48175;68118;5734;8290;2388;36;1310;0;297;47514;11872;5050;37095;36869;1811;531;17287;1103;21724;16867;24144;2020;2972;831;36;488;0;113;307086;75730;32797;239086;237309;12288;3381;110566;6959;139351;107130;154961;12720;19004;5572;144;3160;0;767;320874;79898;34134;249167;246753;12778;3572;116009;7469;145801;113058;161868;13432;19829;5666;99;3214;0;772;9709;2317;1118;7780;7609;406;91;3382;195;4371;3244;4869;377;589;224;0;113;0;29;4534;1109;479;3539;3458;199;45;1639;100;2024;1566;2284;188;275;85;0;45;0;10;162532;40385;17356;126790;125120;6565;1791;58653;3730;73612;57025;81919;6812;10086;2941;27;1624;0;372;17076;4384;1826;13109;12918;646;190;6217;406;7745;6150;8498;730;1044;291;9;153;0;35;207155;51726;22110;160977;159301;8215;2316;75250;4841;93961;73256;104464;8725;12798;3694;72;2043;0;485;188123;47351;20099;146142;144240;7370;2094;68513;4464;85588;66795;94714;7999;11648;3299;36;1813;0;416;214924;53508;22922;167511;165730;8645;2376;77919;5016;97780;75842;108345;9018;13302;3838;36;2149;0;507;22879;5750;2424;17728;17500;899;252;8280;546;10371;8105;11486;946;1414;396;9;226;0;50;18014;4238;1876;14212;13915;803;205;6378;348;8034;5920;9066;698;1128;0;198;48;3314;744;381;2732;2770;124;35;1175;57;1514;1093;1754;132;228;66;0;52;12;8433;2313;873;6084;6228;261;90;3060;252;3834;3258;4158;387;432;108;36;63;0;18;2191;517;219;1684;1707;90;25;777;50;995;749;1113;82;138;32;0;21;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;837;225;89;617;634;29;10;314;23;383;316;425;38;48;12;0;7;0;1
157;167331;53840;7738;106027;96505;7198;6341;43543;2645;65836;67908;94689;5850;339;0;63817;128;0;3078;48064;15400;2249;30695;27930;2009;1837;12646;763;19052;19498;27713;1661;91;0;16880;36;0;852;11369;3559;528;6937;6468;545;418;2869;174;4265;4620;6196;394;20;0;4037;13;0;231;86201;27737;4019;54946;49860;3554;3277;22697;1383;34548;34980;49583;3025;164;0;29200;54;0;1540;86459;27686;3960;55052;49770;3634;3294;22635;1389;34446;35094;49502;3036;159;0;30123;64;0;1574;11909;3799;544;7402;6794;528;444;2988;177;4522;4816;6485;414;26;0;5201;13;0;230;4660;1507;209;3031;2710;183;171;1233;76;1905;1894;2744;159;8;0;1412;2;0;73;34043;10938;1553;21791;19709;1434;1313;8911;548;13676;13833;19679;1199;61;0;10903;23;0;589;2566;821;123;1605;1455;120;95;658;36;988;1044;1424;88;4;0;830;2;0;48;40700;13332;1807;26540;23698;1550;1591;10980;668;16836;16465;23994;1442;81;0;14125;13;0;661;69894;22390;3234;44036;40114;3038;2628;18059;1098;27327;28203;39252;2427;142;0;26592;58;0;1284;68589;21919;3110;44041;39610;2821;2614;18109;1114;27894;27864;39621;2445;123;0;21919;42;0;1202;6309;2035;299;3947;3600;279;240;1615;101;2422;2571;3477;210;14;0;2463;5;0;128;240;85;13;168;157;7;11;73;5;103;96;159;7;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64142;22016;3256;44172;39713;2092;2787;18711;1159;26539;26006;40403;2178;221;0;24310;0;0;825;451;140;20;278;252;20;17;111;7;171;180;240;16;1;0;221;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8502;2668;429;5100;4746;430;307;2091;132;3019;3476;4438;292;18;0;3595;11;0;190
163;232903;75637;16651;176914;135805;19085;10268;41829;2699;55001;113938;110289;4715;274;793;3836;614;0;682;70525;22791;4914;53428;41044;5766;3131;12403;801;16489;34355;33262;1406;86;243;1204;175;0;214;27744;8996;2080;21389;16198;2306;1179;5451;307;6828;13602;13335;634;42;88;588;85;0;65;193272;62560;13841;146611;112694;15764;8463;35198;2217;46008;94359;91619;3984;242;643;3388;528;0;542;136712;44342;9737;103564;79401;11152;6028;24543;1574;32249;66747;64554;2753;163;464;2282;356;0;399;18480;6004;1269;14046;10793;1485;821;3276;210;4314;9056;8741;379;25;61;350;45;0;55;7490;2433;511;5629;4346;609;325;1271;88;1718;3666;3497;137;6;28;84;17;0;26;60621;19697;4299;46102;35307;4974;2629;11175;679;14501;29615;28786;1321;86;184;1204;169;0;150;3448;1125;278;2661;2017;285;146;671;36;867;1693;1658;74;4;12;56;11;0;9;69305;22459;5002;52636;40369;5696;3014;12799;771;16471;33960;32883;1443;88;218;1232;188;0;182;115550;37549;8238;87753;67317;9424;5070;20785;1331;27192;56280;54637;2364;145;393;2030;300;0;336;117150;38000;8310;88867;68313;9574;5161;21164;1339;27723;57251;55278;2378;147;391;2058;303;0;333;6213;2018;406;4688;3631;501;279;1079;70;1469;3012;2950;120;9;18;126;16;0;16;409;128;23;300;236;30;20;64;5;94;191;186;7;0;0;1;1;573;185;42;441;334;49;24;116;6;146;279;275;14;1;1;14;2;2;5726;1792;322;4200;3304;420;280;896;70;1316;2674;2604;98;14;14;91;14;0;14;1435;467;110;1098;841;120;61;281;16;358;708;696;32;2;4;28;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
164;353220;139982;13327;219848;213900;19257;2995;104981;16571;129091;140802;201063;21847;0;53;9760;1292;0;9276;160255;63546;6166;99587;96721;8641;1358;47365;7547;58592;63941;91176;9975;0;22;4451;572;0;4155;16949;6686;630;10494;10239;905;150;5031;805;6274;6707;9697;1033;0;3;501;61;0;449;248589;99262;9558;154846;150316;13617;2133;73852;11589;91331;99635;142400;15621;0;26;6873;892;0;6420;227625;90704;8661;142109;137550;12474;1948;67737;10595;83388;91217;130037;14227;0;30;6217;825;0;5935;16906;6710;643;10334;10101;903;141;5027;807;6219;6666;9407;1005;0;2;522;69;0;465;4574;1855;174;2880;2777;246;36;1350;209;1670;1859;2642;298;0;0;114;15;0;113;117884;47240;4509;73753;71388;6368;1035;34980;5488;43425;47404;67552;7408;0;14;3276;419;0;3049;14546;5662;527;9020;8830;784;124;4317;666;5329;5737;8233;876;0;0;389;54;0;390;127414;50293;4706;78554;76737;6896;1075;37400;5956;46360;50504;71939;7794;0;13;3607;467;0;3330;163640;65293;6325;101999;98833;8900;1399;48526;7657;59906;65341;93641;10226;0;24;4570;580;0;4220;219437;87324;8303;136100;132463;12093;1858;64948;10267;80561;87359;124750;13588;0;20;6214;815;0;5670;27772;11088;1091;17242;16748;1532;233;8227;1307;10201;11132;15912;1711;0;3;790;102;0;711;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;788;335;33;531;495;41;9;251;37;292;338;480;56;0;0;17;2;19;4537;1618;111;2596;2708;209;39;1229;240;1578;1584;2286;213;0;0;136;17;0;129;390;142;11;222;225;17;3;111;20;143;144;185;16;0;0;17;1;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9226;3699;343;5834;5615;481;85;2781;424;3380;3744;5330;587;0;3;245;30;0;231
165;471906;163245;14764;330088;294118;27958;9876;167245;11504;205568;210494;283030;23288;1103;100;136043;3733;0;25396;167235;57630;5251;116224;103489;9911;3496;58868;4054;72320;74398;99651;8271;367;33;50098;1316;0;9048;17312;5969;528;11896;10622;1032;374;6065;416;7404;7697;10245;864;40;5;5361;136;0;903;318236;110556;10115;222111;197982;18890;6615;112846;7820;138314;141776;191936;15795;696;51;86844;2472;0;17359;268670;93371;8485;188211;167331;15904;5613;95462;6619;117404;119477;162433;13359;626;36;71471;2102;0;14531;30362;10489;948;21130;18836;1770;641;10756;750;13180;13554;18046;1490;72;10;11254;237;0;1625;9564;3304;286;6725;5967;559;190;3389;229;4195;4250;5703;469;24;1;2288;76;0;519;166151;57752;5254;115935;103135;9824;3471;58653;4095;72141;73979;99798;8256;365;27;49660;1286;0;9022;10852;3766;343;7521;6698;630;231;3794;253;4703;4796;6441;537;23;1;4269;86;0;597;175456;60960;5532;123150;109564;10340;3645;62315;4313;76636;77964;106243;8733;406;19;41909;1390;0;9477;230794;79962;7285;161042;143389;13686;4830;81743;5646;100004;102831;138465;11432;525;50;70878;1783;0;12453;245738;85309;7707;170912;152543;14594;5177;86794;6071;107005;108511;147696;12205;551;40;63487;1933;0;13310;20452;7029;621;14220;12696;1210;431;7179;498;8907;8998;12275;990;48;2;4572;161;0;1090;841;313;26;638;532;48;16;321;23;378;383;537;42;1;78;7;47;872;307;28;616;543;50;19;316;22;373;404;504;43;2;0;588;6;49;607537;210002;19884;423411;371464;34646;13012;212735;13326;257971;276432;352673;29853;1452;177;292230;4473;0;32423;4043;1404;128;2864;2530;243;84;1458;98;1746;1849;2419;199;9;2;1647;28;0;218;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27092;9312;879;18659;16735;1615;561;9500;645;11691;12063;16066;1340;61;5;8887;214;0;1431
166;111628;47915;8376;78285;71856;6533;901;30652;2187;47676;40192;60931;2402;201;96;3115;741;6;2093;47631;20301;3554;33519;30590;2803;396;13238;939;20182;17322;25984;1055;94;36;1330;306;1;900;7233;3112;528;4979;4685;418;55;1880;131;3061;2535;3876;124;9;4;224;52;0;126;83481;35565;6307;58311;53078;4760;707;23352;1658;35461;30347;45423;1901;183;36;2191;518;1;1587;69098;29606;5149;48838;44253;3994;581;19227;1364;29514;25064;37792;1532;138;28;1925;440;0;1304;7657;3257;572;5500;4946;435;67;2220;161;3267;2846;4275;189;22;4;210;46;0;148;1464;614;110;1003;909;83;10;401;28;618;526;784;30;3;0;35;9;0;25;38879;16456;2971;26922;24579;2190;334;10731;786;16446;14167;21013;879;89;20;980;235;0;731;4435;1889;331;3130;2808;259;42;1272;91;1886;1633;2439;113;11;4;98;25;0;90;44559;19208;3374;31229;28596;2583;357;12219;844;18915;15993;24085;902;71;8;1295;303;0;818;48259;20452;3636;33607;30662;2764;409;13322;985;20472;17391;26300;1105;108;52;1211;303;1;921;69617;29768;5232;48969;44456;4005;596;19559;1425;29735;25312;37950;1605;149;44;1834;428;1;1332;5639;2379;437;3913;3534;321;55;1620;125;2413;2074;3087;136;15;4;119;31;0;109;745;310;57;501;458;38;7;205;17;319;266;403;19;1;14;4;14;1796;772;128;1332;1164;116;20;568;52;772;696;1060;64;8;6;28;8;44;196;84;7;203;161;0;0;49;0;70;98;98;0;0;0;21;0;0;7;205;98;14;166;156;14;1;59;3;87;71;124;3;0;0;14;1;0;4;940;403;66;683;596;60;10;294;28;390;373;551;34;14;4;22;3110;1322;237;2175;1974;182;30;886;64;1327;1136;1704;78;8;0;70;18;0;55
167;308505;125399;12774;170416;151128;21043;6139;82239;5922;81233;114041;121993;8463;552;257;319304;49;0;925;140269;56953;5858;77661;68526;9573;2904;37114;2742;36984;51977;55599;3759;253;124;142285;25;0;410;14736;5972;595;8099;7203;997;287;3863;269;3877;5424;5836;397;28;14;14738;3;0;42;178568;72411;7441;98346;87296;12046;3617;46938;3485;46934;66161;70370;4833;321;145;185759;23;0;509;149124;60590;6167;82312;72771;10188;2955;39720;2847;39064;55016;58751;4085;262;129;154570;25;0;455;25331;10369;1068;14150;12350;1711;542;6723;490;6731;9414;10162;680;44;27;25628;4;0;69;10367;4194;448;5707;5067;697;210;2672;221;2757;3837;4086;269;18;9;11444;1;0;24;82035;33528;3452;45858;40118;5608;1717;21736;1624;21715;30325;32622;2208;139;83;83023;13;0;242;5868;2328;256;3175;2883;395;94;1511;105;1557;2154;2279;166;11;3;6218;0;0;15;83041;33658;3438;45862;40774;5600;1632;21966;1578;21736;30662;32812;2270;155;68;84705;13;0;249;113899;46043;4726;62599;55764;7696;2253;30285;2196;29948;41905;44840;3143;202;86;118116;14;0;334;134243;54589;5574;74374;65781;9072;2760;35512;2611;35322;49700;52975;3615;242;115;137187;22;0;389;4899;1987;198;2715;2409;323;88;1345;89;1283;1787;1927;136;7;4;5145;0;0;17;1020;423;42;567;502;74;24;279;19;263;378;410;27;1;1017;0;3;1315;552;56;743;635;91;33;335;27;350;494;537;30;3;1;1256;1;4;190810;77077;7977;102397;93348;12663;2185;52618;3517;50936;70094;74387;5888;281;42;210276;0;0;649;737;313;32;421;357;55;20;196;15;196;276;304;17;2;1;649;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2219;942;98;1267;1073;167;60;594;45;587;826;915;51;5;4;1947;1;0;6
188;19701;6368;2315;28771;25523;920;440;13494;1281;9913;12685;11812;345;51;98;0;1444;129;1665;8955;2926;992;12941;11416;478;187;6041;590;4447;5692;5384;156;28;48;0;596;81;782;1466;471;171;2109;1911;54;37;1013;87;727;941;840;28;3;6;0;116;6;121;26153;8311;3135;37950;33802;1181;593;17935;1660;13202;16864;15629;463;61;138;0;1949;146;2172;22038;6987;2630;32162;28441;953;496;15161;1422;11099;14258;13198;378;46;110;0;1658;109;1795;2065;677;231;2959;2632;105;44;1398;135;1023;1322;1243;36;6;12;0;136;18;181;356;121;39;511;460;16;6;241;24;181;232;212;5;1;1;0;25;3;30;11580;3661;1381;16841;14953;492;263;7875;754;5866;7554;6919;190;21;52;0;873;57;930;1306;411;160;1928;1685;60;28;884;78;659;846;794;21;2;7;0;99;6;101;8594;2714;1040;12466;11128;372;191;5852;550;4278;5553;5086;145;16;39;0;666;41;697;11394;3625;1358;16532;14661;493;252;7692;727;5700;7260;6716;199;29;52;0;857;65;956;10874;3394;1326;15835;14048;467;244;7445;688;5516;7078;6441;181;19;52;0;827;51;856;451;152;48;641;578;24;11;314;31;227;285;275;6;2;2;0;29;4;40;148;49;16;215;193;9;3;105;11;77;92;95;2;0;0;10;12;101;29;13;138;129;3;3;74;6;54;69;62;2;0;0;0;8;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;546;174;74;811;732;14;15;387;31;264;353;313;11;0;2;0;45;0;44;468;150;51;682;608;27;9;321;33;238;298;291;8;0;30;43;2514;835;278;3624;3224;134;54;1716;172;1256;1585;1538;44;9;14;0;166;20;210
195;814726;208170;18800;521011;443553;48029;13687;206902;23915;296656;316943;338168;35432;2526;4499;28790;6663;399;118627;190254;48516;4390;122027;103901;11105;3209;48825;5600;69706;74172;79217;8371;608;996;6782;1543;74;27577;20787;5282;465;13104;11142;1276;352;5191;592;7329;8026;8447;884;65;118;802;174;19;2979;453340;116029;10549;290703;247497;26260;7616;115729;13294;165913;177343;188607;19828;1428;2474;16460;3554;201;65977;394159;100771;9194;253031;214840;22909;6610;100711;11529;143980;154189;163913;17237;1260;2156;14470;3119;192;57275;63070;16039;1421;40121;34163;3741;1061;15823;1841;22674;24351;26131;2711;192;362;2028;523;31;9219;15684;3967;361;9933;8478;940;253;3984;449;5635;6051;6537;706;54;79;536;136;9;2299;171090;43527;3985;110119;93465;9929;2824;43660;4952;62816;67008;71066;7449;550;922;6434;1356;81;24941;18226;4696;431;11885;10119;1030;310;4816;528;6848;7190;7642;803;61;91;678;139;4;2589;207759;53534;4916;135472;115140;11691;3450;54104;6187;77815;82307;87653;9232;675;1148;7856;1544;37;30189;290909;74340;6730;185845;158067;17061;4897;73888;8518;105713;113050;120042;12545;912;1576;10586;2321;161;42027;292670;74911;6867;188315;160151;16847;4825;75158;8660;107477;115102;121771;12799;925;1604;10694;2260;134;42592;29695;7541;697;19085;16219;1726;467;7647;880;10913;11731;12395;1275;94;164;1152;229;14;4362;2582;640;59;1624;1364;156;38;634;71;905;992;1051;110;6;106;23;389;4440;1188;99;2867;2436;247;82;1150;140;1617;1756;1854;193;13;21;130;31;624;29952;7570;624;18638;15706;1974;522;7182;840;10314;11310;12030;1194;78;192;1035;300;24;4330;8661;2201;198;5602;4753;521;140;2196;257;3196;3391;3668;383;25;53;252;66;1;1296;3432;862;74;2088;1776;230;60;807;95;1148;1267;1348;139;114;35;496;109956;28271;2570;70600;60149;6354;1818;28043;3318;40516;43177;45834;4767;327;629;3904;852;41;15931
196;486591;224536;20332;383208;289760;19549;10243;153270;14044;226564;222037;267929;24036;2627;849;221739;2472;1108;7458;223562;102831;9321;174982;132719;8835;4632;70308;6471;103566;101727;122633;11026;1154;388;102071;1141;518;3432;17174;7931;703;13501;10179;694;352;5358;497;7957;7825;9397;858;93;28;8107;87;35;259;337302;156438;14239;266085;201187;13456;7326;106024;9828;157939;154695;184866;16259;1862;628;156803;1626;780;5173;263947;121975;11139;208343;157080;10614;5655;83062;7672;123376;120909;145047;12875;1447;475;122905;1320;606;4071;17957;8417;750;14284;10704;703;384;5676;526;8500;8283;9922;859;105;32;8416;88;39;268;6536;3086;294;5084;3882;262;136;2017;203;3142;3094;3496;288;30;15;3254;34;19;100;152700;70432;6422;120276;90848;6104;3253;47895;4432;71075;69642;83779;7510;817;275;70372;748;350;2372;11618;5333;491;9152;6914;462;239;3628;325;5382;5277;6369;591;60;21;5506;59;26;184;170210;78942;7319;135521;102146;6776;3692;53545;5070;80601;78702;93360;8183;943;325;84642;824;386;2689;201386;93039;8477;158475;119760;8019;4199;63348;5877;93756;91806;110525;9935;1062;354;94222;1052;457;3105;258142;119349;10857;204224;153966;10332;5565;81451;7489;120906;118132;141778;12587;1425;474;118979;1264;596;4009;28275;13036;1156;22431;16858;1155;613;8920;787;13123;12802;15662;1378;169;48;12783;128;62;439;1321;662;59;1058;797;47;38;423;44;665;654;707;43;6;616;4;16;138;66;10;102;86;6;2;35;5;77;75;59;5;0;0;154;1;4;87192;40031;3787;71687;52688;3478;2067;26658;2632;41184;40055;47850;3806;636;159;48828;277;159;1364;3450;1583;141;2754;2046;140;68;1112;97;1588;1522;1934;190;20;5;1601;15;6;57;866;390;41;680;516;37;15;270;26;418;401;470;44;467;6;15;5373;2470;235;4317;3222;226;121;1658;154;2537;2472;2920;250;36;9;2705;21;11;78
200;259560;87256;22512;160998;147027;19968;8107;105214;6603;77455;140698;135104;8774;630;1216;24774;787;0;951;92273;30876;7990;57185;52178;7055;2853;37294;2325;27389;49928;47771;3103;225;448;8858;273;0;325;29400;9938;2556;18383;16712;2258;964;12025;765;8933;16046;15459;1028;68;125;2667;90;0;104;128123;42664;10489;80200;74223;9674;3924;51880;3088;37310;70613;66690;4415;351;476;11592;398;0;469;114696;38209;9424;71340;65703;8706;3505;46023;2808;33457;63001;59766;3811;306;484;9966;381;0;474;24734;8383;2206;15188;13800;1891;768;10057;649;7419;13266;12834;848;54;121;2428;68;0;84;7034;2376;548;4497;4118;534;210;2867;168;2059;3959;3715;255;19;24;573;23;0;27;98108;32924;8279;61202;56343;7427;3055;39621;2445;28884;53846;51232;3340;255;434;8680;298;0;362;9980;3402;891;6135;5541;777;315;4041;253;3042;5381;5223;332;23;55;905;33;0;39;81886;27640;6979;51311;46766;6283;2582;33438;2041;24310;44934;42818;2854;205;354;7322;247;0;281;121025;40459;10090;74950;68768;9240;3664;48520;2968;35289;65703;62790;4047;321;523;10869;391;0;463;136713;46102;11685;84487;77085;10540;4202;55082;3448;40499;74061;70876;4588;338;653;12823;429;0;525;7088;2375;556;4407;4175;516;207;2864;174;2008;3939;3706;231;22;25;622;23;0;26;91;24;4;50;57;8;2;27;0;16;42;39;0;0;10;0;1;2389;797;235;1529;1331;189;81;976;60;751;1292;1232;85;5;10;209;7;9;23533;7825;2157;15275;14355;1726;834;10214;636;7485;13452;12436;852;57;126;2211;57;0;67;1376;474;126;805;708;118;40;548;36;416;698;702;43;3;8;144;3;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1212;422;112;734;615;102;36;484;30;382;626;606;40;2;6;134;4;0;3
201;60378;27600;800;50157;38679;2135;2072;21941;1835;27016;34718;36631;1841;322;170;27717;0;21;2905;29820;13530;423;24562;18928;1052;1000;10719;884;13207;16996;17914;918;153;96;13717;0;10;1456;4072;1887;91;3219;2482;144;142;1352;123;1755;2303;2337;148;14;18;2581;0;9;206;41715;18998;477;34716;26996;1459;1422;15241;1267;18648;23994;25417;1245;230;100;17977;0;9;1989;31269;14237;332;26068;20100;1104;1074;11451;964;13979;18042;19017;920;167;74;13622;0;2;1471;2041;928;24;1709;1308;66;69;752;62;911;1177;1237;59;11;4;948;0;0;92;2104;980;26;1746;1338;75;66;761;65;939;1210;1262;60;11;4;914;0;0;103;14947;6771;132;12743;9855;520;511;5565;453;6778;8637;9251;433;88;24;5799;0;0;710;1645;766;17;1373;1046;58;55;607;45;735;944;1000;45;9;4;579;0;0;81;23096;10553;261;19368;14965;817;789;8486;705;10296;13344;14090;671;124;48;10117;0;0;1077;32794;15014;413;27222;20952;1151;1118;11927;996;14592;18721;19833;974;176;86;14578;0;8;1563;29141;13271;309;24479;18972;1031;1006;10783;890;13126;16833;17766;847;162;66;12884;0;1;1350;3031;1392;48;2451;1894;109;108;1051;95;1345;1742;1799;91;13;10;1594;0;1;150;26;12;0;34;34;1;1;18;1;20;18;27;1;0;0;0;1;526;234;10;428;328;20;20;188;16;240;302;312;18;2;1;388;0;28;46755;21593;415;38519;29392;1620;1654;16885;1561;20699;26938;27562;1402;214;40;22791;0;0;2204;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1023;485;33;783;601;36;36;318;30;432;574;566;41;642;0;60;4055;1844;74;3291;2549;148;137;1410;119;1803;2317;2430;130;19;12;2076;0;0;190
